Id,Name
1,Москва
2,Санкт-Петербург
3,Новосибирск
4,Екатеринбург
5,Казань
6,Нижний Новгород
7,Челябинск
8,Красноярск
9,Самара
10,Уфа
11,Ростов-на-Дону
12,Омск
13,Краснодар
14,Воронеж
15,Пермь
16,Волгоград
17,Саратов
18,Тюмень
19,Тольятти
20,Барнаул
21,Ижевск
22,Махачкала
23,Хабаровск
24,Ульяновск
25,Иркутск
26,Владивосток
27,Ярославль
28,Кемерово
29,Томск
30,Набережные Челны
31,Севастополь
32,Ставрополь
33,Оренбург
34,Новокузнецк
35,Рязань
36,Балашиха
37,Пенза
38,Чебоксары
39,Липецк
40,Калининград
41,Астрахань
42,Тула
43,Киров
44,Сочи
45,Курск
46,Тверь
47,Магнитогорск
48,Брянск
49,Иваново
50,Владимир
